OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200011,2024-02-17,C93861,MONITOR,3,49.14,831 MAIN ST,ONLINE,RETURNED,TRK48234646,7,SAVE10,EMAIL,147.42
ORD200012,2024-10-15,C38785,MONITOR,2,180.5,179 MAIN ST,DEBIT CARD,PENDING,TRK20419991,6,FREESHIP,REFERRAL,361.0
ORD200013,2023-08-30,C88348,LAPTOP,3,201.49,903 MAIN ST,CREDIT CARD,RETURNED,TRK81913874,4,FREESHIP,FACEBOOK,604.47
ORD200014,2023-03-27,C98474,TABLET,2,393.33,980 MAIN ST,DEBIT CARD,PENDING,TRK79186539,3,SAVE10,INSTAGRAM,786.66
ORD200015,2023-07-17,C39416,PRINTER,1,473.96,942 MAIN ST,CASH,DELIVERED,TRK54930938,3,NO_COUPON,GOOGLE,473.96
ORD200016,2023-01-24,C28976,PRINTER,2,533.81,914 MAIN ST,CREDIT CARD,PENDING,TRK13194259,3,FREESHIP,EMAIL,1067.62
ORD200017,2024-03-02,C60672,TABLET,1,423.4,382 MAIN ST,DEBIT CARD,SHIPPED,TRK11972116,3,NO_COUPON,REFERRAL,423.4
ORD200018,2025-03-26,C84329,DESK,1,431.44,891 MAIN ST,GIFT CARD,PENDING,TRK65191045,3,SAVE10,FACEBOOK,431.44
ORD200019,2023-01-23,C14552,MONITOR,5,224.0,273 MAIN ST,CASH,RETURNED,TRK59101365,9,SAVE10,GOOGLE,1120.0
ORD200020,2023-05-08,C54829,CHAIR,5,62.51,587 MAIN ST,CASH,PENDING,TRK16718651,9,WINTER15,INSTAGRAM,312.55
ORD200021,2024-11-17,C99023,MONITOR,4,342.95,569 MAIN ST,CASH,DELIVERED,TRK52646983,6,NO_COUPON,GOOGLE,1371.8
ORD200022,2023-01-29,C34416,MONITOR,2,49.62,633 MAIN ST,ONLINE,PENDING,TRK75937350,2,SAVE10,GOOGLE,99.24
ORD200023,2025-04-09,C42372,PHONE,4,273.25,755 MAIN ST,DEBIT CARD,CANCELLED,TRK36168083,5,FREESHIP,REFERRAL,1093.0
ORD200024,2024-10-30,C17470,LAPTOP,2,230.95,956 MAIN ST,ONLINE,DELIVERED,TRK28775057,3,WINTER15,REFERRAL,461.9
ORD200025,2024-07-24,C42577,MONITOR,1,399.98,709 MAIN ST,DEBIT CARD,DELIVERED,TRK69423327,3,WINTER15,EMAIL,399.98
ORD200026,2024-03-06,C21944,LAPTOP,5,59.55,296 MAIN ST,ONLINE,DELIVERED,TRK80276812,6,NO_COUPON,REFERRAL,297.75
ORD200027,2024-02-22,C97593,PRINTER,1,472.74,881 MAIN ST,ONLINE,SHIPPED,TRK89117573,6,WINTER15,GOOGLE,472.74
ORD200028,2023-11-21,C59823,PHONE,4,160.07,568 MAIN ST,ONLINE,PENDING,TRK65895539,5,NO_COUPON,EMAIL,640.28
ORD200029,2024-09-20,C33260,DESK,3,423.53,930 MAIN ST,CREDIT CARD,DELIVERED,TRK59744090,6,SAVE10,REFERRAL,1270.59
ORD200030,2025-03-22,C44267,MONITOR,2,426.7,895 MAIN ST,ONLINE,PENDING,TRK54751444,5,SAVE10,REFERRAL,853.4
ORD200031,2023-06-30,C26445,CHAIR,3,500.08,996 MAIN ST,DEBIT CARD,RETURNED,TRK31229981,6,NO_COUPON,FACEBOOK,1500.24
ORD200032,2023-05-01,C12388,TABLET,5,536.72,830 MAIN ST,CASH,DELIVERED,TRK99261395,10,NO_COUPON,EMAIL,2683.6
ORD200033,2023-06-05,C52184,CHAIR,1,162.77,912 MAIN ST,ONLINE,CANCELLED,TRK73312471,4,WINTER15,FACEBOOK,162.77
ORD200034,2023-01-07,C67195,CHAIR,4,576.52,926 MAIN ST,CREDIT CARD,PENDING,TRK55467915,5,WINTER15,FACEBOOK,2306.08
ORD200035,2024-12-07,C50304,MONITOR,2,465.15,128 MAIN ST,ONLINE,SHIPPED,TRK46850888,2,SAVE10,FACEBOOK,930.3
ORD200036,2025-05-08,C59337,LAPTOP,2,534.43,465 MAIN ST,DEBIT CARD,PENDING,TRK50961250,5,NO_COUPON,FACEBOOK,1068.86
ORD200037,2024-10-14,C10054,LAPTOP,2,76.74,409 MAIN ST,CASH,RETURNED,TRK94005261,7,SAVE10,INSTAGRAM,153.48
ORD200038,2024-12-19,C15924,LAPTOP,1,245.89,549 MAIN ST,DEBIT CARD,DELIVERED,TRK14835975,3,SAVE10,GOOGLE,245.89
ORD200039,2025-02-27,C96664,PRINTER,3,256.46,666 MAIN ST,CREDIT CARD,DELIVERED,TRK85508960,4,SAVE10,REFERRAL,769.3799999999999
ORD200040,2023-08-20,C84766,DESK,2,344.02,267 MAIN ST,ONLINE,DELIVERED,TRK78967923,4,FREESHIP,INSTAGRAM,688.04
ORD200041,2023-12-05,C20212,MONITOR,3,611.45,657 MAIN ST,GIFT CARD,PENDING,TRK69733327,4,FREESHIP,INSTAGRAM,1834.35
ORD200042,2024-05-06,C28712,PRINTER,2,151.66,980 MAIN ST,CASH,CANCELLED,TRK40772558,6,NO_COUPON,INSTAGRAM,303.32
ORD200043,2023-12-14,C60572,CHAIR,3,499.21,871 MAIN ST,ONLINE,CANCELLED,TRK20351666,8,NO_COUPON,INSTAGRAM,1497.63
ORD200044,2025-04-21,C73225,PHONE,2,550.18,996 MAIN ST,GIFT CARD,RETURNED,TRK73848522,3,FREESHIP,REFERRAL,1100.36
ORD200045,2024-02-10,C17388,CHAIR,1,317.25,157 MAIN ST,DEBIT CARD,RETURNED,TRK47077395,1,SAVE10,FACEBOOK,317.25
ORD200046,2024-06-26,C43212,MONITOR,4,550.14,223 MAIN ST,DEBIT CARD,PENDING,TRK25100762,4,FREESHIP,INSTAGRAM,2200.56
ORD200047,2023-07-19,C38134,DESK,2,209.94,323 MAIN ST,CREDIT CARD,RETURNED,TRK42450754,3,FREESHIP,EMAIL,419.88
ORD200048,2023-08-26,C12408,MONITOR,2,80.77,464 MAIN ST,DEBIT CARD,SHIPPED,TRK38938858,4,NO_COUPON,GOOGLE,161.54
ORD200049,2023-10-07,C11985,PRINTER,1,30.44,633 MAIN ST,CREDIT CARD,SHIPPED,TRK53272402,1,SAVE10,EMAIL,30.44
ORD200050,2023-07-31,C96494,TABLET,1,179.22,446 MAIN ST,ONLINE,CANCELLED,TRK14675049,6,FREESHIP,INSTAGRAM,179.22
ORD200051,2024-12-30,C36778,TABLET,1,388.33,434 MAIN ST,CASH,RETURNED,TRK67610289,2,SAVE10,FACEBOOK,388.33
ORD200052,2024-09-08,C30513,TABLET,1,586.44,232 MAIN ST,ONLINE,RETURNED,TRK64320429,5,SAVE10,FACEBOOK,586.44
ORD200053,2024-05-18,C67551,PHONE,4,488.78,512 MAIN ST,ONLINE,RETURNED,TRK94992552,5,FREESHIP,GOOGLE,1955.12
ORD200054,2025-03-27,C48120,CHAIR,1,280.25,623 MAIN ST,ONLINE,PENDING,TRK11014449,5,WINTER15,EMAIL,280.25
ORD200055,2025-06-24,C95984,PRINTER,3,344.4,565 MAIN ST,ONLINE,CANCELLED,TRK67434829,3,NO_COUPON,FACEBOOK,1033.2
ORD200056,2023-05-21,C54298,TABLET,3,479.21,566 MAIN ST,CASH,CANCELLED,TRK62902341,5,WINTER15,REFERRAL,1437.63
ORD200057,2023-01-22,C88036,PRINTER,5,314.27,842 MAIN ST,CASH,RETURNED,TRK52470128,6,SAVE10,INSTAGRAM,1571.35
ORD200058,2023-01-15,C60190,PHONE,4,474.69,202 MAIN ST,GIFT CARD,CANCELLED,TRK70857868,6,SAVE10,GOOGLE,1898.76
ORD200059,2024-09-11,C97603,CHAIR,4,593.27,811 MAIN ST,ONLINE,SHIPPED,TRK47055028,5,NO_COUPON,FACEBOOK,2373.08
ORD200060,2024-08-21,C39256,DESK,1,417.1,634 MAIN ST,DEBIT CARD,RETURNED,TRK23412025,3,FREESHIP,REFERRAL,417.1
ORD200061,2024-03-24,C61618,DESK,4,122.2,104 MAIN ST,CASH,DELIVERED,TRK43458485,7,FREESHIP,FACEBOOK,488.8
ORD200062,2023-08-22,C36497,DESK,2,43.15,691 MAIN ST,DEBIT CARD,PENDING,TRK12102911,3,WINTER15,EMAIL,86.3
ORD200063,2025-02-02,C96695,CHAIR,1,564.86,813 MAIN ST,DEBIT CARD,SHIPPED,TRK64283851,6,WINTER15,REFERRAL,564.86
ORD200064,2025-06-25,C49720,PRINTER,3,130.61,752 MAIN ST,DEBIT CARD,CANCELLED,TRK55785217,4,FREESHIP,FACEBOOK,391.83
ORD200065,2023-12-30,C97735,MONITOR,5,81.7,385 MAIN ST,CREDIT CARD,DELIVERED,TRK13743703,6,NO_COUPON,INSTAGRAM,408.5
ORD200066,2024-11-15,C18104,CHAIR,5,127.18,715 MAIN ST,CASH,CANCELLED,TRK15488568,9,SAVE10,REFERRAL,635.9000000000001
ORD200067,2024-12-09,C25587,PRINTER,4,12.1,440 MAIN ST,DEBIT CARD,CANCELLED,TRK55105323,8,NO_COUPON,GOOGLE,48.4
ORD200068,2023-12-11,C41598,CHAIR,3,490.92,709 MAIN ST,CREDIT CARD,PENDING,TRK81665940,5,FREESHIP,EMAIL,1472.76
ORD200069,2023-05-11,C43338,MONITOR,3,478.65,552 MAIN ST,ONLINE,SHIPPED,TRK35241775,4,NO_COUPON,REFERRAL,1435.95
ORD200070,2023-05-26,C25123,DESK,1,629.21,384 MAIN ST,GIFT CARD,PENDING,TRK27812282,2,FREESHIP,INSTAGRAM,629.21
ORD200071,2025-06-10,C37454,MONITOR,3,434.45,923 MAIN ST,CREDIT CARD,PENDING,TRK28252730,4,NO_COUPON,REFERRAL,1303.35
ORD200072,2024-12-22,C19451,TABLET,4,589.44,942 MAIN ST,GIFT CARD,RETURNED,TRK87787793,5,NO_COUPON,FACEBOOK,2357.76
ORD200073,2023-05-03,C17269,MONITOR,4,433.45,129 MAIN ST,GIFT CARD,CANCELLED,TRK79608389,4,NO_COUPON,FACEBOOK,1733.8
ORD200074,2023-06-24,C25382,PHONE,5,90.87,622 MAIN ST,CASH,PENDING,TRK64691287,5,NO_COUPON,INSTAGRAM,454.35
ORD200075,2023-09-26,C80651,TABLET,3,398.17,917 MAIN ST,DEBIT CARD,DELIVERED,TRK14846720,5,SAVE10,EMAIL,1194.51
ORD200076,2024-03-31,C58638,LAPTOP,4,382.88,239 MAIN ST,CASH,CANCELLED,TRK38224871,6,WINTER15,EMAIL,1531.52
ORD200077,2024-05-24,C50121,PHONE,1,583.18,348 MAIN ST,CREDIT CARD,RETURNED,TRK79810059,5,NO_COUPON,GOOGLE,583.18
ORD200078,2024-08-06,C32029,PRINTER,4,175.36,146 MAIN ST,DEBIT CARD,DELIVERED,TRK68535532,4,FREESHIP,INSTAGRAM,701.44
ORD200079,2025-03-10,C76700,TABLET,2,311.91,103 MAIN ST,ONLINE,SHIPPED,TRK13036341,2,NO_COUPON,FACEBOOK,623.82
ORD200080,2023-06-27,C29041,PHONE,3,589.56,591 MAIN ST,ONLINE,RETURNED,TRK28840655,6,NO_COUPON,FACEBOOK,1768.68
ORD200081,2023-06-08,C29314,MONITOR,2,394.3,496 MAIN ST,CASH,SHIPPED,TRK59876213,6,FREESHIP,EMAIL,788.6
ORD200082,2024-01-05,C65799,TABLET,4,565.2,971 MAIN ST,DEBIT CARD,SHIPPED,TRK66906607,9,SAVE10,GOOGLE,2260.8
ORD200083,2023-08-22,C15681,LAPTOP,4,540.41,989 MAIN ST,CREDIT CARD,CANCELLED,TRK75112172,6,NO_COUPON,REFERRAL,2161.64
ORD200084,2023-08-28,C64160,MONITOR,2,165.49,967 MAIN ST,ONLINE,SHIPPED,TRK34121529,4,WINTER15,INSTAGRAM,330.98
ORD200085,2024-09-09,C14553,TABLET,3,146.73,768 MAIN ST,CASH,DELIVERED,TRK93538334,8,FREESHIP,EMAIL,440.1899999999999
ORD200086,2024-06-19,C88205,PRINTER,5,643.03,447 MAIN ST,ONLINE,CANCELLED,TRK93504166,5,FREESHIP,REFERRAL,3215.15
ORD200087,2024-10-10,C91245,TABLET,3,225.11,915 MAIN ST,CASH,SHIPPED,TRK46976391,4,SAVE10,FACEBOOK,675.33
ORD200088,2025-06-05,C75439,DESK,3,114.81,318 MAIN ST,GIFT CARD,CANCELLED,TRK19831653,7,NO_COUPON,GOOGLE,344.43
ORD200089,2025-02-25,C17181,PRINTER,5,455.33,291 MAIN ST,CREDIT CARD,CANCELLED,TRK78912978,8,FREESHIP,GOOGLE,2276.65
ORD200090,2023-09-18,C36540,CHAIR,4,182.08,611 MAIN ST,GIFT CARD,DELIVERED,TRK35828122,4,SAVE10,EMAIL,728.32
ORD200091,2023-03-15,C98216,LAPTOP,5,492.75,196 MAIN ST,CASH,SHIPPED,TRK40986666,6,WINTER15,REFERRAL,2463.75
ORD200092,2024-06-10,C29568,PRINTER,4,48.61,203 MAIN ST,ONLINE,SHIPPED,TRK46531075,7,FREESHIP,FACEBOOK,194.44
ORD200093,2023-01-14,C97262,DESK,4,431.01,837 MAIN ST,CREDIT CARD,RETURNED,TRK65990229,7,NO_COUPON,REFERRAL,1724.04
ORD200094,2023-02-11,C79821,CHAIR,1,531.18,781 MAIN ST,GIFT CARD,RETURNED,TRK12780193,6,WINTER15,INSTAGRAM,531.18
ORD200095,2023-03-24,C76761,PRINTER,4,117.51,839 MAIN ST,DEBIT CARD,RETURNED,TRK60179774,7,NO_COUPON,REFERRAL,470.04
ORD200096,2024-06-01,C93007,PHONE,2,232.83,103 MAIN ST,GIFT CARD,DELIVERED,TRK85696091,7,NO_COUPON,INSTAGRAM,465.66
ORD200097,2025-01-21,C15624,TABLET,5,619.52,922 MAIN ST,DEBIT CARD,PENDING,TRK40621141,9,NO_COUPON,EMAIL,3097.6
ORD200098,2023-01-14,C70921,PRINTER,2,228.54,533 MAIN ST,DEBIT CARD,PENDING,TRK54983109,3,NO_COUPON,EMAIL,457.08
ORD200099,2025-04-12,C30477,PRINTER,1,201.58,717 MAIN ST,DEBIT CARD,CANCELLED,TRK51829648,2,WINTER15,EMAIL,201.58
ORD200100,2023-02-17,C74866,PHONE,3,664.79,743 MAIN ST,ONLINE,DELIVERED,TRK53783265,6,NO_COUPON,FACEBOOK,1994.37
ORD200101,2023-11-25,C15283,PRINTER,1,381.02,152 MAIN ST,CASH,SHIPPED,TRK19286291,6,NO_COUPON,GOOGLE,381.02
ORD200102,2023-03-08,C18037,LAPTOP,2,70.34,944 MAIN ST,GIFT CARD,CANCELLED,TRK47362236,3,FREESHIP,EMAIL,140.68
ORD200103,2025-01-25,C62656,PHONE,4,218.43,514 MAIN ST,CREDIT CARD,CANCELLED,TRK86296459,9,SAVE10,EMAIL,873.72
ORD200104,2024-07-30,C65744,PHONE,1,582.04,647 MAIN ST,GIFT CARD,DELIVERED,TRK39906058,1,FREESHIP,EMAIL,582.04
ORD200105,2024-10-24,C72290,PRINTER,3,185.4,810 MAIN ST,GIFT CARD,CANCELLED,TRK68792129,7,NO_COUPON,FACEBOOK,556.2
ORD200106,2023-09-08,C73514,DESK,3,465.05,126 MAIN ST,CREDIT CARD,CANCELLED,TRK96777924,3,SAVE10,EMAIL,1395.15
ORD200107,2023-03-27,C16775,PRINTER,5,670.75,848 MAIN ST,GIFT CARD,SHIPPED,TRK34392124,8,FREESHIP,INSTAGRAM,3353.75
ORD200108,2024-12-28,C33099,LAPTOP,5,48.38,522 MAIN ST,GIFT CARD,DELIVERED,TRK28522330,9,WINTER15,EMAIL,241.9
ORD200109,2023-09-17,C51157,DESK,3,592.87,131 MAIN ST,GIFT CARD,SHIPPED,TRK18674578,3,FREESHIP,REFERRAL,1778.61
ORD200110,2024-04-21,C74562,TABLET,1,220.77,388 MAIN ST,GIFT CARD,PENDING,TRK32062079,5,FREESHIP,INSTAGRAM,220.77
ORD200111,2025-05-07,C95271,DESK,3,309.22,620 MAIN ST,ONLINE,CANCELLED,TRK74904969,7,FREESHIP,GOOGLE,927.6600000000001
ORD200112,2023-01-01,C81366,MONITOR,1,410.6,423 MAIN ST,ONLINE,CANCELLED,TRK17062206,2,WINTER15,REFERRAL,410.6
ORD200113,2024-01-17,C65905,LAPTOP,5,190.08,605 MAIN ST,CASH,SHIPPED,TRK73954365,9,FREESHIP,INSTAGRAM,950.4000000000001
ORD200114,2025-01-27,C77272,MONITOR,5,498.48,115 MAIN ST,ONLINE,PENDING,TRK29708128,8,SAVE10,GOOGLE,2492.4
ORD200115,2023-11-27,C32580,PHONE,5,374.99,122 MAIN ST,ONLINE,SHIPPED,TRK23670394,9,SAVE10,FACEBOOK,1874.95
ORD200116,2023-03-19,C47761,PRINTER,4,291.35,109 MAIN ST,CREDIT CARD,CANCELLED,TRK66669207,6,WINTER15,FACEBOOK,1165.4
ORD200117,2023-03-08,C49187,TABLET,1,535.5,593 MAIN ST,GIFT CARD,CANCELLED,TRK81888598,5,WINTER15,REFERRAL,535.5
ORD200118,2023-10-09,C27898,PRINTER,5,502.71,807 MAIN ST,GIFT CARD,SHIPPED,TRK61957665,7,FREESHIP,GOOGLE,2513.55
ORD200119,2025-06-11,C14683,DESK,2,534.67,187 MAIN ST,DEBIT CARD,SHIPPED,TRK47373682,7,FREESHIP,REFERRAL,1069.34
ORD200120,2023-04-11,C58108,TABLET,4,629.34,986 MAIN ST,CASH,CANCELLED,TRK66218053,4,WINTER15,INSTAGRAM,2517.36
ORD200121,2023-11-30,C89822,DESK,1,410.78,673 MAIN ST,CASH,CANCELLED,TRK24138598,1,FREESHIP,INSTAGRAM,410.78
ORD200122,2024-04-15,C96787,LAPTOP,2,533.02,588 MAIN ST,GIFT CARD,SHIPPED,TRK30422853,2,NO_COUPON,FACEBOOK,1066.04
ORD200123,2023-07-06,C86064,DESK,3,278.04,727 MAIN ST,ONLINE,DELIVERED,TRK62182901,5,NO_COUPON,INSTAGRAM,834.1200000000001
ORD200124,2024-07-28,C97148,PRINTER,4,283.79,563 MAIN ST,ONLINE,PENDING,TRK85321126,8,NO_COUPON,GOOGLE,1135.16
ORD200125,2024-11-06,C91099,PHONE,2,512.65,758 MAIN ST,CREDIT CARD,SHIPPED,TRK81846174,5,SAVE10,EMAIL,1025.3
ORD200126,2025-05-03,C55606,DESK,4,275.5,353 MAIN ST,GIFT CARD,SHIPPED,TRK68250319,8,FREESHIP,GOOGLE,1102.0
ORD200127,2023-08-10,C71486,DESK,3,469.32,365 MAIN ST,DEBIT CARD,SHIPPED,TRK73929833,3,NO_COUPON,GOOGLE,1407.96
ORD200128,2023-02-17,C86408,TABLET,4,21.07,244 MAIN ST,GIFT CARD,DELIVERED,TRK41432648,4,FREESHIP,GOOGLE,84.28
ORD200129,2023-10-27,C52751,LAPTOP,4,263.93,427 MAIN ST,DEBIT CARD,SHIPPED,TRK72481234,4,FREESHIP,FACEBOOK,1055.72
ORD200130,2025-01-22,C29059,DESK,3,501.3,513 MAIN ST,ONLINE,CANCELLED,TRK88360704,3,WINTER15,FACEBOOK,1503.9
ORD200131,2023-01-08,C72862,TABLET,1,84.8,606 MAIN ST,GIFT CARD,PENDING,TRK51648833,5,NO_COUPON,INSTAGRAM,84.8
ORD200132,2023-03-28,C96257,TABLET,4,450.75,583 MAIN ST,CREDIT CARD,SHIPPED,TRK13137948,6,WINTER15,EMAIL,1803.0
ORD200133,2025-06-20,C87432,CHAIR,4,302.05,636 MAIN ST,DEBIT CARD,CANCELLED,TRK68969625,6,SAVE10,GOOGLE,1208.2
ORD200134,2025-06-23,C16253,LAPTOP,2,199.7,583 MAIN ST,CASH,PENDING,TRK17354894,4,NO_COUPON,EMAIL,399.4
ORD200135,2023-08-04,C79909,PRINTER,2,68.81,642 MAIN ST,GIFT CARD,SHIPPED,TRK86742257,5,SAVE10,REFERRAL,137.62
ORD200136,2024-04-27,C73370,LAPTOP,1,44.35,595 MAIN ST,GIFT CARD,CANCELLED,TRK67820278,1,SAVE10,INSTAGRAM,44.35
ORD200137,2024-11-26,C50682,MONITOR,2,250.98,598 MAIN ST,CREDIT CARD,DELIVERED,TRK12242337,5,NO_COUPON,GOOGLE,501.96
ORD200138,2023-12-21,C21905,TABLET,1,298.06,478 MAIN ST,DEBIT CARD,PENDING,TRK31863841,3,WINTER15,GOOGLE,298.06
ORD200139,2023-04-10,C61440,PHONE,1,583.9,714 MAIN ST,CASH,RETURNED,TRK33114521,1,NO_COUPON,EMAIL,583.9
ORD200140,2025-05-31,C33110,CHAIR,3,528.14,388 MAIN ST,ONLINE,DELIVERED,TRK38624225,3,FREESHIP,EMAIL,1584.42
ORD200141,2023-11-18,C80004,PRINTER,3,684.14,151 MAIN ST,CASH,CANCELLED,TRK66230753,3,WINTER15,INSTAGRAM,2052.42
ORD200142,2023-09-06,C86374,DESK,5,272.77,573 MAIN ST,CASH,PENDING,TRK79451491,7,WINTER15,EMAIL,1363.85
ORD200143,2024-06-13,C66521,CHAIR,4,400.07,933 MAIN ST,ONLINE,SHIPPED,TRK34654244,5,NO_COUPON,REFERRAL,1600.28
ORD200144,2023-08-04,C63365,DESK,5,219.78,895 MAIN ST,CREDIT CARD,PENDING,TRK80100887,8,NO_COUPON,FACEBOOK,1098.9
ORD200145,2024-03-02,C85929,PRINTER,3,146.91,798 MAIN ST,CREDIT CARD,DELIVERED,TRK29318610,6,FREESHIP,GOOGLE,440.73
ORD200146,2025-04-30,C84645,TABLET,2,411.49,404 MAIN ST,CREDIT CARD,RETURNED,TRK68893369,4,NO_COUPON,INSTAGRAM,822.98
ORD200147,2025-05-06,C46316,LAPTOP,2,465.18,893 MAIN ST,CREDIT CARD,CANCELLED,TRK16196000,2,SAVE10,GOOGLE,930.36
ORD200148,2024-12-15,C35100,PHONE,2,319.91,139 MAIN ST,CREDIT CARD,CANCELLED,TRK56853491,3,WINTER15,GOOGLE,639.82
ORD200149,2023-12-27,C39671,LAPTOP,1,217.56,174 MAIN ST,DEBIT CARD,DELIVERED,TRK47153818,3,NO_COUPON,FACEBOOK,217.56
ORD200150,2023-12-13,C25503,PHONE,2,105.57,981 MAIN ST,DEBIT CARD,RETURNED,TRK29878837,5,WINTER15,GOOGLE,211.14
ORD200151,2023-12-01,C32960,PRINTER,5,444.76,947 MAIN ST,DEBIT CARD,RETURNED,TRK91226500,7,NO_COUPON,EMAIL,2223.8
ORD200152,2025-01-02,C77736,CHAIR,2,399.04,659 MAIN ST,CASH,CANCELLED,TRK90329250,3,FREESHIP,REFERRAL,798.08
ORD200153,2024-12-18,C71570,CHAIR,4,534.48,437 MAIN ST,ONLINE,RETURNED,TRK95992269,9,WINTER15,INSTAGRAM,2137.92
ORD200154,2023-07-20,C73587,PHONE,4,408.21,727 MAIN ST,CREDIT CARD,PENDING,TRK13955543,9,NO_COUPON,INSTAGRAM,1632.84
ORD200155,2023-02-27,C62740,PHONE,1,424.4,446 MAIN ST,ONLINE,SHIPPED,TRK20706408,6,WINTER15,REFERRAL,424.4
ORD200156,2024-11-08,C58808,CHAIR,2,269.83,651 MAIN ST,ONLINE,DELIVERED,TRK24451893,4,SAVE10,EMAIL,539.66
ORD200157,2025-02-21,C50422,MONITOR,2,564.58,636 MAIN ST,ONLINE,RETURNED,TRK71227815,4,WINTER15,FACEBOOK,1129.16
ORD200158,2024-05-16,C23334,TABLET,1,331.06,737 MAIN ST,CREDIT CARD,PENDING,TRK46335144,5,WINTER15,INSTAGRAM,331.06
ORD200159,2023-10-31,C48965,PRINTER,1,299.35,819 MAIN ST,CREDIT CARD,CANCELLED,TRK50921780,5,WINTER15,EMAIL,299.35
ORD200160,2023-02-17,C38669,MONITOR,4,101.32,240 MAIN ST,CASH,PENDING,TRK81738254,7,NO_COUPON,REFERRAL,405.28
ORD200161,2024-03-29,C35091,MONITOR,1,211.14,513 MAIN ST,CREDIT CARD,CANCELLED,TRK53784452,1,SAVE10,FACEBOOK,211.14
ORD200162,2023-07-27,C82313,CHAIR,3,65.86,917 MAIN ST,ONLINE,PENDING,TRK79854624,8,WINTER15,GOOGLE,197.58
ORD200163,2025-06-24,C99589,TABLET,1,641.39,277 MAIN ST,ONLINE,CANCELLED,TRK16695001,1,NO_COUPON,REFERRAL,641.39
ORD200164,2023-12-28,C70566,DESK,5,536.58,667 MAIN ST,GIFT CARD,PENDING,TRK49673411,5,SAVE10,GOOGLE,2682.9
ORD200165,2024-09-14,C60355,MONITOR,2,500.29,226 MAIN ST,ONLINE,RETURNED,TRK30155194,7,WINTER15,GOOGLE,1000.58
ORD200166,2025-03-04,C28889,CHAIR,3,86.29,565 MAIN ST,CASH,DELIVERED,TRK23791726,6,WINTER15,INSTAGRAM,258.87
ORD200167,2023-05-27,C88304,CHAIR,2,384.14,219 MAIN ST,ONLINE,RETURNED,TRK44268941,2,WINTER15,EMAIL,768.28
ORD200168,2025-01-04,C49517,PRINTER,1,594.96,878 MAIN ST,CASH,RETURNED,TRK78551375,6,NO_COUPON,FACEBOOK,594.96
ORD200169,2024-04-07,C35785,PRINTER,1,427.82,732 MAIN ST,ONLINE,DELIVERED,TRK78923089,2,WINTER15,EMAIL,427.82
ORD200170,2025-04-04,C80223,DESK,4,662.94,535 MAIN ST,CASH,CANCELLED,TRK68632951,8,SAVE10,INSTAGRAM,2651.76
ORD200171,2023-08-15,C20448,TABLET,2,148.22,336 MAIN ST,CREDIT CARD,DELIVERED,TRK67379895,7,WINTER15,INSTAGRAM,296.44
ORD200172,2025-04-06,C34134,PRINTER,1,254.12,365 MAIN ST,ONLINE,DELIVERED,TRK43074303,1,WINTER15,EMAIL,254.12
ORD200173,2024-03-24,C95901,PHONE,3,664.46,806 MAIN ST,ONLINE,DELIVERED,TRK56989066,4,FREESHIP,GOOGLE,1993.38
ORD200174,2024-04-16,C51145,PRINTER,4,600.81,790 MAIN ST,DEBIT CARD,DELIVERED,TRK59154274,9,SAVE10,EMAIL,2403.24
